instance,general_sha256,dual_sha256,no_skill_sha256,no_skill_hash_kind,primal_archive_sha256,primal_uncompressed_sha256,general_matches_primal_archive,dual_matches_primal_archive,no_skill_matches_primal_content_chain
ns1856153,f52ae202906c0df1bcc804b679c647cff2e62607c2b78301dff8b5d9f51a13b4,f52ae202906c0df1bcc804b679c647cff2e62607c2b78301dff8b5d9f51a13b4,f52ae202906c0df1bcc804b679c647cff2e62607c2b78301dff8b5d9f51a13b4,compressed .mps.gz bytes,f52ae202906c0df1bcc804b679c647cff2e62607c2b78301dff8b5d9f51a13b4,f8a8c08b13eba659664f61129e0b2c906e139dd9adfe4ed93bb8ec4a78b93d69,True,True,True
dc1l,49d40810273a4948b8b56be538b46575b566afa2f133094a4a687f05ab7604f5,49d40810273a4948b8b56be538b46575b566afa2f133094a4a687f05ab7604f5,49d40810273a4948b8b56be538b46575b566afa2f133094a4a687f05ab7604f5,compressed .mps.gz bytes,49d40810273a4948b8b56be538b46575b566afa2f133094a4a687f05ab7604f5,8e8160bf5ca6c7855a2093687afb6cf7939951299e82560031ed8aae4c8bc362,True,True,True
neos-5221106-oparau,788ac2b03e5a11b39b58e616663ed598cc9523e64ff195c7c8d038e3b4459d2d,788ac2b03e5a11b39b58e616663ed598cc9523e64ff195c7c8d038e3b4459d2d,788ac2b03e5a11b39b58e616663ed598cc9523e64ff195c7c8d038e3b4459d2d,compressed .mps.gz bytes,788ac2b03e5a11b39b58e616663ed598cc9523e64ff195c7c8d038e3b4459d2d,bc7a97c71303ce74b19c91e8477acc197b06cc536b37d49a3fcde8cc6fd3c66b,True,True,True
zeil,0a841d40523d10b0b66ebd2b3ad2a24baba5a351148b6bdf77685669a513bebe,0a841d40523d10b0b66ebd2b3ad2a24baba5a351148b6bdf77685669a513bebe,0a841d40523d10b0b66ebd2b3ad2a24baba5a351148b6bdf77685669a513bebe,compressed .mps.gz bytes,0a841d40523d10b0b66ebd2b3ad2a24baba5a351148b6bdf77685669a513bebe,67f55eef62b3925e1587ff56128d95694c443d4736e9803664aa2ffd41597dd8,True,True,True
cdma,84775da3b8e919cd5363bbe3f2a170a126b379f1f2d9cdf4b7ac70bbb93384fb,84775da3b8e919cd5363bbe3f2a170a126b379f1f2d9cdf4b7ac70bbb93384fb,84775da3b8e919cd5363bbe3f2a170a126b379f1f2d9cdf4b7ac70bbb93384fb,compressed .mps.gz bytes,84775da3b8e919cd5363bbe3f2a170a126b379f1f2d9cdf4b7ac70bbb93384fb,e1fb162e68493c6fe8734a331d1a7c8980c429776adf0340416fb6346c33686d,True,True,True
ns1456591,acc4972ca3c3f59ab052d7b39ca1ded34d5a685f82e0a64a95dc317839594ccf,acc4972ca3c3f59ab052d7b39ca1ded34d5a685f82e0a64a95dc317839594ccf,acc4972ca3c3f59ab052d7b39ca1ded34d5a685f82e0a64a95dc317839594ccf,compressed .mps.gz bytes,acc4972ca3c3f59ab052d7b39ca1ded34d5a685f82e0a64a95dc317839594ccf,f7912ac3d4017bdb849c3f62f8c46e631904f2c5ff606266152f4edc6a9220c0,True,True,True
seqsolve1,4aa946b2d01a7f6d700cbd35194b8938961b6e872f0deca4ac16b7268f43b1aa,4aa946b2d01a7f6d700cbd35194b8938961b6e872f0deca4ac16b7268f43b1aa,3a5b3c7a8a168ee2999013f233bd1df0a0937c2cf811bbe886d607e8123318d6,decompressed .mps bytes,4aa946b2d01a7f6d700cbd35194b8938961b6e872f0deca4ac16b7268f43b1aa,3a5b3c7a8a168ee2999013f233bd1df0a0937c2cf811bbe886d607e8123318d6,True,True,True
stockholm,42f1fa8ba37eaf11999579b09562be30d6b26df151b06dcbaa710dab0eb82498,42f1fa8ba37eaf11999579b09562be30d6b26df151b06dcbaa710dab0eb82498,20790418ce711a9fcd3b2eae5dca34d232f6831a84830165172d01077593c23e,decompressed .mps bytes,42f1fa8ba37eaf11999579b09562be30d6b26df151b06dcbaa710dab0eb82498,20790418ce711a9fcd3b2eae5dca34d232f6831a84830165172d01077593c23e,True,True,True
supportcase22,69b86a13d312e6531d03cd93f31d13e4b8db01dd4093761b72acdefeb38bd8a3,69b86a13d312e6531d03cd93f31d13e4b8db01dd4093761b72acdefeb38bd8a3,92be5f19939945c6efa5dd5c1f2ea7bca2625c1b90d0127ef2a14e2bafb81e7b,decompressed .mps bytes,69b86a13d312e6531d03cd93f31d13e4b8db01dd4093761b72acdefeb38bd8a3,92be5f19939945c6efa5dd5c1f2ea7bca2625c1b90d0127ef2a14e2bafb81e7b,True,True,True
neos-3682128-sandon,8f2b0f9f2ca63ed893a5524279d98a983b967276f9bcbb278301fb146ca2f71c,8f2b0f9f2ca63ed893a5524279d98a983b967276f9bcbb278301fb146ca2f71c,44935d053c0df7a6cbd28db175f324bbdfb5fa88cf0edd6d09ffc1b14bacb9b9,decompressed .mps bytes,8f2b0f9f2ca63ed893a5524279d98a983b967276f9bcbb278301fb146ca2f71c,44935d053c0df7a6cbd28db175f324bbdfb5fa88cf0edd6d09ffc1b14bacb9b9,True,True,True
