instance,batch,no_skill_primal,general_primal,primal_skill_primal,general_tolerance_indexed,no_skill_dual,general_dual,dual_gurobi_numeric,dual_gurobi_strongest,dual_independent_certified,dual_copt_terminal,copt10h_displayed_dual,copt_terminal_time_limit_seconds,copt_replay_exact_verdict,original_copt_recorded_time_seconds,dual_copt_vs_original_copt,dual_copt_minus_original_copt,primal_row_tolerance,primal_integrality_tolerance,primal_max_row_violation,primal_max_integrality_violation,primal_max_bound_violation,primal_evidence,dual_evidence,dual_exact_closure,no_skill_active_minutes,no_skill_solver_minutes,general_active_minutes,general_solver_minutes,primal_active_minutes,primal_wall_minutes,primal_solver_minutes,dual_active_minutes,dual_wall_minutes,dual_solver_minutes,general_method,primal_method,dual_method,general_source,primal_source,dual_source,general_evidence_path,primal_evidence_path,dual_evidence_path,general_vs_no_P_at_1e_7,general_vs_no_P_scale_sensitive,general_vs_no_P_exact_delta,general_vs_no_D_at_1e_7,general_vs_no_D_scale_sensitive,general_vs_no_D_exact_delta,primal_vs_general_P_at_1e_7,primal_vs_general_P_scale_sensitive,primal_vs_general_P_exact_delta,primal_vs_no_P_at_1e_7,primal_vs_no_P_scale_sensitive,primal_vs_no_P_exact_delta,dual_vs_general_D_at_1e_7,dual_vs_general_D_scale_sensitive,dual_vs_general_D_exact_delta,dual_vs_no_D_at_1e_7,dual_vs_no_D_scale_sensitive,dual_vs_no_D_exact_delta,no_gap_fraction,no_gap_state,general_gap_fraction,general_gap_state,posthoc_primal_dual_gap_fraction,posthoc_primal_dual_gap_state,general_vs_no_gap
ns1856153,3,34.16347439886857,34.01697312588408,34.01697312588409,false,0.003362513402564,28.900000000000006,32.6971654879775,32.6971654879775,11.224893917963225,18.500000000000004,0,2200,weaker,36000.0,stronger,18.500000000000004,1e-06,1e-06,1.7763568394002505e-15,0.0,0.0,numerical,numerical Gurobi bound on an independently verified exact-equivalent all-cutset connectivity projection; exact 7936/707 combinatorial certificate tracked separately,false,93.6598223671,90.3936666667,104.34090537333333,80.00342580477397,140.9197013258934,150.00004292726516,140.2959993362427,150.0,150.0,120.19835461775462,exact connectivity projection; transpose/tree optimum-value equivalence; incumbent-cutoff interval big-M tightening,coupled_flow_tree_placement_master;dependency_closed_multi_coordinate_LNS;full_original_RINS_diversification;integer_pattern_continuous_recourse;matrix_proved_compact_gate_core;perspective_forest_tree_placement_master;spanning_tree_exchange_original_LP;warm_original_primal_baseline,"exact projection from staged Boolean connectivity to undirected cutsets; branch-and-cut on the all-cutset model; exact cluster contraction, spanning-tree enumeration, and matching certificate",D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/ns1856153/final_report.md,instances/ns1856153/validation.json,instances/ns1856153/accepted_bounds/0008_connectivity_cutset_v2_seed13_2200_32_6971654879775.json,win,win,0.14650127298449,win,win,28.896637486597442,tie,tie,-1E-14,win,win,0.14650127298448,win,win,3.797165487977494,win,win,32.693802974574936,0.999901575777589080339031255356392853686095919051080457603924616114185635299730318218078366,available,0.150424116424117821833736887372551313458806597884136061354594523197384866497631863805835712,available,0.0387985031185013358350637834418308039774162535665526256132568964194569475071283934901372227,available,win
dc1l,3,1758647.6800999984,1758647.6801,1758647.6800999984,false,1749186.534225,1748341.9142596035,1748926.03079,1748926.03079,unavailable,1748766.82965,1751049.95,800,weaker,36000.0,weaker,-2283.12035,1e-06,1e-06,0.0,0.0,0.0,numerical,numerical Gurobi bound on replayed Lagrangian relaxation with exact original-objective lattice rounding,false,90.0210291123,90.0041285663,102.8431862,75.05481148163478,132.69726822773615,150.00022883812588,129.94773552815118,150.0,150.0,110.37608304818471,"exact structural quotient and rational certificate chain, audited restricted neighborhoods, and matched untouched-original control",bounded_full_original_primal_baseline;crew_cover_connected_replacement;fixed_crew_original_continuous_recourse;forced_crew_cover_original_repair;original_full_norel_crew_diversification;original_full_rins_crew_recombination,exact slack-substitution cover projection; duplicate-column aggregation; sign-valid Lagrangian relaxation; exact 1/100000 objective lattice; validated public cutoff/start,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/dc1l/final_report.md,instances/dc1l/validation.json,instances/dc1l/accepted_bounds/0005_lagrangian_cover_v4_seed11_800s_lattice_numeric.json,tie,tie,-1.6E-9,loss,loss,-844.6199653965,tie,tie,1.6E-9,tie,tie,0,win,win,584.1165303965,loss,loss,-260.503435,0.00537978469596618132067185589658465730060893652410856239374084429140789902626208584883370923,available,0.00586005142304028448591588939031177129291116619259912444813283326606197591173793400667165273,available,0.00552791182679956548316656940120497365702637185536514855360822113550160522180523177922017428,available,loss
neos-5221106-oparau,4,52.669999994631496,52.07,52.66999999999962,false,0.0,42.54,24.71937119987213,24.71937119987213,15.11,24.672961932591758,0,1500,weaker,36000.0,stronger,24.672961932591758,1e-06,1e-06,4.547473508864641e-13,0.0,0.0,numerical,"global numerical Gurobi bound on an original-equivalent replayed full formulation, kept separate from an exact assignment-dual/lattice certificate",false,90.06021869077223,90.02460754919052,90.304075225,80.25004597107572,93.66939314206441,150.0000348329544,93.51862902641297,150.0,151.07514469999998,105.11386916240056,incumbent-capped exact mode-4 projection plus exact route exchange and assignment-radius search,bottleneck_complete_route_refit;bottleneck_pair_route_exchange;diverse_verified_pool_whole_core_norel;initial_whole_core_norel;whole_core_norel_route_escape;whole_core_primal;whole_core_rins,exact tight-M/service equivalence; route-cost projection; size-2/3/4 subtour cuts; customer-count and demand flows; cheapest-mode aggregation; exact assignment dual; strengthened full-model branch-and-cut,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/neos-5221106-oparau/final_report.md,instances/neos-5221106-oparau/validation.json,instances/neos-5221106-oparau/accepted_bounds/0012_full_tight_route_v8_1500s_numeric.json,win,win,0.599999994631496,win,win,42.54,loss,loss,-0.59999999999962,tie,tie,-5.368124E-9,loss,loss,-17.82062880012787,win,win,24.71937119987213,1,available,0.183022853850585749951987708853466487420779719608219704244286537353562512003072786633378145,available,0.530674554777438611284048137966058248306292521399930821931994151769742437018752088515778757,available,win
zeil,4,1081.3585000000078,1081.3585,1081.3584999996644,false,815.3797428765,833.8312541332446,817.284526478749,817.284526478749,813.5094878037870948029898319960691,820.6945892684043,834.502247,2400,stronger,36000.0,weaker,-13.8076577315957,1e-06,1e-06,8.362066594713724e-11,0.0,0.0,numerical,replay-validated numerical global lower bound on an equivalent chain-SOS formulation,false,90.1652814814821,90.01369168233872,92.239062245,50.68268333276113,135.18923023144404,150.00004889965058,133.80206665992736,unknown,151.56951119105022,111.27695556879044,exact w projection with support cuts,fixed_initial_best_integer_continuous_recourse;matrix_exact_positive_part_projection_benders;matrix_exact_positive_part_projection_benders_feasible_incumbent_search;original_NoRel_fallback;original_NoRel_primal_pilot;public_timetable_integer_crossover_difference;public_timetable_recombination_union;semantic_timetable_choice_group_destroy;tight_peak_interval_precedence_connected_LNS;unrestricted_original_NoRel_diversification,cumulative-chain SOS equivalence; continuous and explicit-binary representation probes; exact LP-dual certificates; exact weighted-window closure/min-cut relaxation; bound-focused branch-and-cut,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/zeil/final_report.md,instances/zeil/validation.json,instances/zeil/accepted_bounds/0009_chain_sos_aggr_2400s_numeric.json,tie,tie,7.8E-12,win,win,18.4515112567446,tie,tie,3.356E-10,tie,tie,3.434E-10,loss,loss,-16.5467276544956,win,win,1.904783602249,0.245967232072902632619607494979200299495069546535828717726394179669371197549562498380194092,available,0.228903962808592525050665436115774740754338177394453365835659496827370386416715640557687390,available,0.244205759256525338685372602983804918577475800052133127800352515726921088893533416269842675,available,win
cdma,4,-22966095679999980,-24778478399999989.93240,-24778478399999984,false,-31763448000000000,-63828901980830619.66410742284140406012091284602512785,-2.700669263025124e+16,-2.700669263025124e+16,-6.382890200999861e+16,-47795384739950344,,900,weaker,0.1,unavailable,,1e-06,1e-06,5.093170329928398e-11,0.0,0.0,numerical,numerical Gurobi global bound transferred through an independently verified pointwise objective lower estimator on the identical full feasible set; exact LP-Lagrangian certificate tracked separately,false,90.02308716429937,89.92499639193217,90.13211198333333,49.14068334102631,128.521963874499,150.00008754730226,127.59532841444016,150.0,150.0,114.63007170756659,public-pattern repair plus OR-hull bounded-box Lagrangian certificate and bounded structural falsification,all_original_binary_local_branching_radius_2;all_original_binary_local_branching_radius_32;all_original_binary_local_branching_radius_8;all_original_binary_local_branching_radius_96;cold_original_NoRel_and_primal_search;cold_original_feasibility;external_ID4_rounded_integer_pattern_original_continuous_recourse;full_original_diversification_seed_route;full_original_norel_seed_route;objective_guided_row_closure_LNS_width_1800;objective_guided_row_closure_LNS_width_800;original_row_coupled_binary_LNS;public_diff_closure1000;public_diff_closure2500;public_diff_closure400;public_diff_exact;public_lb16;public_lb192;public_lb64;unrestricted_original_RINS_diversification;unrestricted_original_partition_12_buckets;verified_diverse_253a3665c1b5_181c54207732_closure2000;verified_diverse_253a3665c1b5_181c54207732_closure800;verified_diverse_253a3665c1b5_181c54207732_diff;verified_diverse_253a3665c1b5_181c54207732_lb24;verified_diverse_253a3665c1b5_181c54207732_lb96;verified_diverse_cdaecf089b46_181c54207732_closure2000;verified_diverse_cdaecf089b46_181c54207732_closure800;verified_diverse_cdaecf089b46_181c54207732_diff;verified_diverse_cdaecf089b46_181c54207732_lb24;verified_diverse_cdaecf089b46_181c54207732_lb96;verified_diverse_cfab57f2018e_181c54207732_closure2000;verified_diverse_cfab57f2018e_181c54207732_closure800;verified_diverse_cfab57f2018e_181c54207732_diff;verified_diverse_cfab57f2018e_181c54207732_lb24;verified_diverse_cfab57f2018e_181c54207732_lb96,full original-model baseline; binary and normalized continuous projections; full-feasible-set conservative objective scaling; bound-focused Gurobi trees; exact rational LP-Lagrangian certificate,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/cdma/final_report.md,instances/cdma/validation.json,instances/cdma/accepted_bounds/0002_objective_scaled_v3_900.json,win,win,1812382720000009.9324,loss,loss,-32065453980830619.66410742284140406012091284602512785,loss,tie,-5.9324,win,win,1812382720000004,win,win,36822209350579379.66410742284140406012091284602512785,win,win,4756755369748760,0.276964651948365933068727299378833179571688816654917312503352910553035677990626206575558170,available,0.611798454445580577179378799455876864698769489233329997796674908826170605303080705504217853,available,0.0825060017810306449254587551015101008452620954002258495416381260736834933647055677667795700,available,loss
ns1456591,4,988.1412834399998,988.14128344,988.1403051801293,false,473.415027263,988.14128344,988.14128344,988.14128344,988.14128344,,,,excluded_exact_closure,,excluded_exact_closure,,1e-06,1e-06,9.89999999978508e-07,9.89999999978508e-07,0.0,numerical,exact scaled-integer route-projection dual certificate with matching route partition lifted to the untouched original MPS,true,90.0215778527921,90.00265449841818,90.097,10.000330901145935,124.2678605000178,150.00003652572633,124.08560372193655,56.296136505,150.0,15.004490438954035,exact route quotient; Held-Karp/set-partition DP; rational complete-master dual; original-MPS lift,clean_fixed_integer_original_continuous_recourse;initial_original_primal_baseline;matrix_proved_multi_route_block_exchange;unrestricted_original_norel_diversification;unrestricted_original_rins_transfer,exact 20-layer symmetry canonicalization; metric route projection; exact reverse/forward Held-Karp route enumeration; exact set-partition DP; integer route-master dual; exact lift to untouched MPS,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/ns1456591/final_report.md,instances/ns1456591/validation.json,instances/ns1456591/accepted_bounds/0003_route_master_exact.json,tie,tie,-2E-13,win,win,514.726256177,win,win,0.0009782598707,win,win,0.0009782598705,tie,tie,0,win,win,514.726256177,0.520903503176278450035305444515220817339732321875556378632972840294506425216307081267962698,available,0,available,,P_below_D,win
seqsolve1,5,4279,4277,4277.0,false,4272,4269,4275.0,4275.0,3737.0,4256,4268.52039,1200,weaker,36000.0,weaker,-12.52039,1e-06,1e-06,0.0,0.0,0.0,numerical,numerical_solver_dual_plus_independently_replayed_exact_equivalence_mapping_and_exact_objective_lattice_rounding,false,93.66979594290412,89.92544311682383,90.259909695,15.394183198610943,130.8221860130628,150.00028125047683,130.58665073315302,150.0,151.08033259312313,115.44477837085724,structure-audited activation/rounding/Hall strengthenings with untouched-MPS baseline and exact witness replay,active_pairday_integer_hour_recourse;fixed_z_active_pair_weekday_recourse;mapping_failed_whole_core_diversification;mapping_failed_whole_core_rins;shortage_site_complete_person_block_11;shortage_site_complete_person_block_13;shortage_site_complete_person_block_14;shortage_site_complete_person_block_15;shortage_site_complete_person_block_16;shortage_site_complete_person_block_17;shortage_site_complete_person_block_2;shortage_site_complete_person_block_24;shortage_site_complete_person_block_27;shortage_site_complete_person_block_3;shortage_site_complete_person_block_32;shortage_site_complete_person_block_4;shortage_site_complete_person_block_8;verified_public_integer_difference_crossover;whole_core_diversification;whole_core_norel;whole_core_norel_between_person_blocks;whole_core_primal_baseline;whole_core_rins,fixed original baseline; exact capacity max-flow/min-cut relaxation; person-z packing; odd-capacity pairday CG and tight-M; person/site day-subset Hall packing; integer-target cutoff exclusion,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/seqsolve1/final_report.md,instances/seqsolve1/validation.json,accepted_bounds/accepted_0004_local_capacity_cg_numeric.json; accepted_bounds/accepted_0002_maxflow_exact.json; bound_validation.json; final_report.md,win,win,2,loss,loss,-3,tie,tie,0,win,win,2,win,win,6,win,win,3,0.00163589623743865389109605047908389810703435382098621173171301706006076186024772143024071045,available,0.00187046995557633855506195931727846621463642740238484919335983165770399812953004442366144494,available,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,available,loss
stockholm,5,129,122,122.0,false,106,104,106.0,106.0,87,94,93.5364881,900,weaker,36000.0,stronger,0.4635119,1e-06,1e-06,1.9761969838327786e-13,0.0,0.0,numerical,replay-validated numerical global lower bound on an untouched/equivalent full model,false,99.82295791710882,86.29958708286286,90.11405976666667,44.32840204617629,119.20199294884999,150.00005552371343,119.03330721060435,unknown,151.68754551410674,87.61315001646678,untouched-original audit plus exact-recourse monotone combinatorial Benders,active_toll_incident_cluster_destroy;all_public_signature_union;incident_expansion_of_public_differences;matrix_backed_toll_support_combinatorial_benders;matrix_backed_toll_support_local_benders_continuation;official4_positive_support_fixed_continuous_recourse;official4_rounded_binary_fixed_continuous_recourse;original_NoRel_fallback;original_NoRel_primal_pilot;public1_signature_difference;public2_signature_difference;public3_signature_difference;public4_signature_difference;unrestricted_original_NoRel_diversification,original-model cut-focused branch-and-cut; exact same-OD path-cover replay; disjoint packing; iterative integer/fractional cover separation; exact rational cover-LP dual weighting; equivalent full-model strengthening,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/stockholm/final_report.md,instances/stockholm/validation.json,instances/stockholm/accepted_bounds/numeric_004_cover9376_final.json,win,win,7,loss,loss,-2,tie,tie,0,win,win,7,win,win,2,tie,tie,0,0.178294573643410852713178294573643410852713178294573643410852713178294573643410852713178295,available,0.147540983606557377049180327868852459016393442622950819672131147540983606557377049180327869,available,0.131147540983606557377049180327868852459016393442622950819672131147540983606557377049180328,available,win
supportcase22,5,110,110,110.0,false,1.4000000000000001,6.0,6.4,6.4,6.0,6.4,0.88353308,600,equal,36000.0,stronger,5.51646692,1e-06,1e-06,0.0,0.0,0.0,numerical,global_numerical_solver_cutoff_exclusion_plus_exact_objective_support,false,92.35297636023412,89.61152691443762,90.15233848333334,44.53004137277603,103.27301597992579,150.00004039605457,102.15183106498719,150.0,151.9410255630811,86.51552956501642,DEC-master violated-original-row generation with independent subset audit and exact 1/5 objective lattice; exact alias/support quotient; scoped neighborhoods,degree_completion_high12p5;degree_completion_high25;degree_completion_high50;degree_completion_high75;full_original_NoRel;full_original_RINS;full_original_diversification;full_original_primal_baseline;majority_defect_closure_d10;majority_defect_closure_d100;majority_defect_closure_d1000;majority_defect_closure_d25;majority_defect_closure_d50;majority_repair_full_dictionary;majority_repair_public_varying274;majority_repair_varying_plus_violation337;post_degree_full_original_NoRel;post_degree_full_original_RINS;post_repair_full_original_NoRel;post_repair_full_original_RINS;post_repair_full_original_diversification;weighted_boolean_repair_seed0;weighted_boolean_repair_seed1;weighted_boolean_repair_seed2;weighted_boolean_repair_seed3;weighted_boolean_repair_seed4;weighted_boolean_repair_seed5;weighted_boolean_repair_seed6;weighted_boolean_repair_seed7,fixed original baseline; objective-support lattice lifting; complete objective cutoffs; exact interval propagation with equality substitution; exhaustive 140-way 27/5-cost branch certificate; exact objective-support pattern shells,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/supportcase22/final_report.md,instances/supportcase22/validation.json,instances/supportcase22/final_report.md,tie,tie,0,win,win,4.5999999999999999,tie,tie,0,tie,tie,0,win,win,0.4,win,win,4.9999999999999999,0.987272727272727271818181818181818181818181818181818181818181818181818181818181818181818182,available,0.945454545454545454545454545454545454545454545454545454545454545454545454545454545454545455,available,0.941818181818181818181818181818181818181818181818181818181818181818181818181818181818181818,available,win
neos-3682128-sandon,5,34666770,34666770,34666770.0,false,21672926.242906883,34666770,34666770,34666770,34666770,,,,excluded_exact_closure,,excluded_exact_closure,,1e-06,1e-06,0.0,0.0,0.0,numerical,exact rational structural certificate and exhaustive finite-state DP with an independently exact-checked feasible original-MPS solution,true,90.3216567880862,89.98097125291824,90.25262052833334,26.6469482477506,130.10646317799885,150.00005565484364,130.05513985157012,141.77440018653868,150.0,17.130982379118603,complete machine-configuration enumeration with exact rational duals and an exact original-MPS lift,sandon_active_penalty_two_hop;sandon_anonymous_block_00_one_hop;sandon_anonymous_block_01_one_hop;sandon_anonymous_block_02_one_hop;sandon_anonymous_block_03_one_hop;sandon_anonymous_block_04_one_hop;sandon_anonymous_block_05_one_hop;sandon_anonymous_block_06_one_hop;sandon_anonymous_block_07_one_hop;sandon_anonymous_block_08_one_hop;sandon_changed_y_two_hop;sandon_named_core_one_hop;sandon_public_difference_one_hop;sandon_public_equal_objective_difference;sandon_y_block_00_one_hop;sandon_y_block_01_one_hop;sandon_y_block_02_one_hop;sandon_y_block_03_one_hop;sandon_y_block_04_one_hop;sandon_y_block_05_one_hop;sandon_y_block_06_one_hop;sandon_y_block_07_one_hop;whole_core_diversification;whole_core_diversification_escape;whole_core_norel;whole_core_primal_baseline;whole_core_primal_escape;whole_core_rins;whole_core_rins_escape,objective-lattice rounding; exact setup and assignment relaxations; deadline/machine finite-state DP; sequence decomposition; forced machine-4 prefix; fixed-sequence aggregate start cuts,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/neos-3682128-sandon/final_report.md,instances/neos-3682128-sandon/validation.json,instances/neos-3682128-sandon/accepted_bounds/0012_exact_optimality_dominant_forced_machine4_prefix.json,tie,tie,0,win,win,12993843.757093117,tie,tie,0,tie,tie,0,tie,tie,0,win,win,12993843.757093117,0.374821298814199217290794613977592951405625617846716033827206861210317546168852765919640047,available,0,available,0,available,win
